,UnixTimestamp_x,EUR,GBP,CHF,AUD,CAD,JPY,CNY,RAI
2021-11-18,1637193600,1.1368868627038582,1.3499102309696405,1.0802612503807922,0.7276849938983614,0.7934398394077765,0.008750053003446069,0.15659011863110797,3.0277200883820576
2021-11-19,1637280000,1.1280264950863166,1.3446806450701991,1.0768319603725838,0.723788016965591,0.7908827041861421,0.008770157329606367,0.15656302820451642,3.0277558090510484
2021-11-20,1637366400,1.1280264950863166,1.3444998527772662,1.0770047635920694,0.723788016965591,0.7908827041861421,0.008770157329606367,0.15656302820451642,3.027810518237692
2021-11-21,1637452800,1.1275202897276138,1.3433818294173752,1.0760035077714354,0.7231348183629963,0.790242090664475,0.008761055356728272,0.15656302820451642,3.027900467202292
2021-11-22,1637539200,1.1241639030970714,1.3397462520598598,1.0721733489870642,0.7226869500803988,0.7872125198279153,0.008709662537070175,0.15660723578675795,3.028003376741345
2021-11-23,1637625600,1.1243522325700106,1.337497408598771,1.0712200660942781,0.7221202026846985,0.7888083866107665,0.008682810071309487,0.15644798002972826,3.0280772455130074
2021-11-24,1637712000,1.120272450259903,1.3329849799252462,1.0705320008778363,0.7202032125384498,0.7898582204494294,0.008663931711791297,0.15642600369572077,3.028133595122584
2021-11-25,1637798400,1.1209380009191692,1.331315059702824,1.0690602212313223,0.7174851857246278,0.789646159555903,0.00869228893835999,0.15656712181250867,3.0282010185441557
2021-11-26,1637884800,1.1318567884242743,1.3342495180023617,1.0831818684020684,0.7122999238551382,0.7815247547966082,0.008821061590063392,0.156420082398971,3.0282563332553187
2021-11-27,1637971200,1.1318567884242743,1.3342495180023617,1.0831818684020684,0.7122999238551382,0.7815247547966082,0.008821061590063392,0.156420082398971,3.0284264611410565
2021-11-29,1638144000,1.1292417141889222,1.3316997816012357,1.0834177496329922,0.7144000182886405,0.7850618432467018,0.008788197240189692,0.15654297997095187,3.028692014260224
2021-11-30,1638230400,1.1331380558750375,1.3296846785753227,1.087618550421996,0.7125999065068922,0.7826593983697204,0.008828228599952326,0.15712654516280433,3.0289653460725043
2021-12-02,1638403200,1.1306142061675004,1.3302294645826405,1.0871396811419316,0.7086649885479738,0.7800938764970976,0.00884838452389232,0.15681116344945042,3.02926036046231
2021-12-03,1638489600,1.1313445804069222,1.3232501670603338,1.0898564876977002,0.6998150388852227,0.7787919379458583,0.008864108466053266,0.15682820599196665,3.0294544538194925
2021-12-04,1638576000,1.1313445804069222,1.3232501670603338,1.0898612388670676,0.7002001872335301,0.7787919379458583,0.008864852137812282,0.15682820599196665,3.0296917015403526
2021-12-05,1638662400,1.1303905499350024,1.323539143670174,1.0885894058479022,0.7017297638679344,0.7800585823995382,0.008845213191750955,0.1568283043723731,3.0300096239505514
2021-12-06,1638748800,1.1283943512578776,1.3262001448210559,1.0803546155990242,0.704885064965732,0.7835486133148417,0.008812914437766772,0.15683071473088947,3.03038271749882
2021-12-07,1638835200,1.1272940433782748,1.3246963133701597,1.0816482155508564,0.7121999857560002,0.7908576851595555,0.008809059158919311,0.15705246447512516,3.0307791746629973
2021-12-08,1638921600,1.1344363836436964,1.3207422571485172,1.0866305325793566,0.7167950088129946,0.7902327235370817,0.00879615660029814,0.15761191470421446,3.0311576529267605
2021-12-09,1639008000,1.1292991005132664,1.3223402778236923,1.0824385174922062,0.7145766490642619,0.7868284910596612,0.008814223561921524,0.15679879578524836,3.0315041745514946
2021-12-10,1639094400,1.1316761821772319,1.3271752402187185,1.085867113754353,0.7172001081537762,0.7858947608325769,0.008819505642014148,0.15698823718536417,3.031815768570613
2021-12-11,1639180800,1.1316761821772319,1.3272492228955801,1.0860711376595167,0.7172001081537762,0.7857002553525829,0.008818727873811764,0.15698823718536417,3.0321095974882355
2021-12-12,1639267200,1.1311449449132411,1.3256358080744477,1.0855170317622282,0.7165736315235073,0.7860862729684583,0.008810223538453956,0.15698200217043318,3.0324376670754947
2021-12-13,1639353600,1.1283179600011284,1.3212657726101604,1.0838945197209189,0.7129997682750753,0.7806553601748668,0.008804291620254843,0.15705937111228976,3.0327694942515726
2021-12-15,1639526400,1.1290823383295228,1.326303922543851,1.081560475453985,0.7166814780838805,0.7790315858356478,0.008760712040187349,0.15704501585447958,3.033497730053875
2021-12-16,1639612800,1.13347199474069,1.3322941439010907,1.0879001568752027,0.7174496673185893,0.7824450625760438,0.008797939234058976,0.15702787684492053,3.0338879802138514
2021-12-17,1639699200,1.1238101659867614,1.3237003248360597,1.0817266087438127,0.7155204982312333,0.7757470444037609,0.008794271517065041,0.15685280493596956,3.0342590724563583
2021-12-18,1639785600,1.1238101659867614,1.3246506896131491,1.081936103017628,0.7124998842187688,0.775506405682911,0.008793911517772847,0.15685280493596956,3.034597947513882
2021-12-19,1639872000,1.1242460524910483,1.3228388120907468,1.0830012129613584,0.7116374065086357,0.7752238458854993,0.008808050635791959,0.1568528541415898,3.034921881621986
2021-12-20,1639958400,1.1277796950032593,1.320986512727705,1.0849281777546325,0.7110453789160824,0.7729737459467189,0.008797317261619995,0.1568454982440362,3.035271433134361
2021-12-21,1640044800,1.1286363251601252,1.32687587076229,1.083147844265003,0.7147554106984589,0.7738590415755771,0.008772391067649645,0.15693418400030884,3.0356240640004577
2021-12-22,1640131200,1.1327606850483518,1.3352650167241944,1.0875594079326583,0.721199961343682,0.7782252573007257,0.008762783400354461,0.15698350542911754,3.0359767433420077
2021-12-23,1640217600,1.132509244106705,1.3405724244252293,1.0883725891186686,0.7233048086026981,0.7796997376310383,0.008736450104425477,0.15697847825063183,3.0363216109370534
